window,year,round,pick,pick_seed,opp_seed,model_p,ml,ml_opp,spread,margin,correct,covered,push
all_prior,2013,S16,Ohio St.,2,6,0.76,-175,155,-3.5,3,True,False,False
all_prior,2013,E8,Ohio St.,2,9,0.8,-245,205,-5.0,-4,False,False,False
all_prior,2013,R64,Louisville,1,16,0.96,-20000,7500,-26.5,31,True,True,False
all_prior,2013,R64,Colorado St.,8,9,0.64,135,-155,3.0,12,True,True,False
all_prior,2013,R64,Oklahoma St.,5,12,0.63,-135,115,-2.0,-13,False,False,False
all_prior,2013,R64,Saint Louis,4,13,0.71,-500,395,-9.0,20,True,True,False
all_prior,2013,R64,Saint Mary's,11,6,0.5800000000000001,110,-130,1.0,-2,False,False,False
all_prior,2013,R64,Michigan St.,3,14,0.88,-555,450,-9.5,11,True,True,False
all_prior,2013,R64,Creighton,7,10,0.64,-170,150,-3.0,4,True,True,False
all_prior,2013,R64,Duke,2,15,0.72,-5755,3355,-20.5,12,True,False,False
all_prior,2013,R32,Louisville,1,8,0.73,-675,515,-10.5,26,True,True,False
all_prior,2013,R32,Saint Louis,4,12,0.61,-215,185,-4.5,-17,False,False,False
all_prior,2013,R32,Michigan St.,3,6,0.57,-285,245,-5.5,22,True,True,False
all_prior,2013,R32,Duke,2,7,0.69,-285,245,-6.0,16,True,True,False
all_prior,2013,S16,Louisville,1,12,0.73,-770,545,-10.5,8,True,False,False
all_prior,2013,S16,Michigan St.,3,2,0.51,120,-140,2.0,-10,False,False,False
all_prior,2013,E8,Louisville,1,2,0.77,-195,165,-3.5,22,True,True,False
all_prior,2013,F4,Louisville,1,4,0.85,-170,150,-4.0,6,True,True,False
